id,value,color
ALL.Netherlands.威尔•海根文、ALL.Netherlands.瑞安•普特伍里叶图,1,#FF9999
ALL.Netherlands.文森特•梵高、ALL.America.H.安娜•ALL.Russia.编,1,#FF9999
ALL.Netherlands.马克斯•维尔修思MaxVelthuijs,2,#FF9999
ALL.Portuguese.费尔南多·佩索阿,1,#FF9966
ALL.Spain.路易斯·塞尔努达,1,#CCFF99
ALL.Spain.阿尔贝托·门德斯,4,#CCFF99
ALL.Argentina.博尔赫斯,2,#FF9966
ALL.Argentina.豪·路·博尔赫斯,7,#FF9966
ALL.Korea.尹胎镐,1,#FF9966
ALL.Korea.金善贤绘著,2,#FF9966
ALL.Korea.金玟廷著,1,#FF9966
