文学,小说,精神科的故事：空中秋千,[日]奥田英朗/王维幸/南海出版公司/2016-8/39.50元,7.5,1529\u4eba\u8bc4\u4ef7
文学,小说,权力与荣耀,[英]格雷厄姆·格林/傅惟慈/上海译文出版社/2007/36.00元,8.6,752\u4eba\u8bc4\u4ef7
文学,小说,我的团长我的团（上部）,兰晓龙/新星出版社/2009-1/35.00,9.2,3216\u4eba\u8bc4\u4ef7
文学,小说,积木书,赵松/河南大学出版社/2017-3/38,8.7,62\u4eba\u8bc4\u4ef7
文学,小说,隐秘的幸福,[巴西]克拉丽丝·李斯佩克朵/闵雪飞/上海文艺出版社/2016-6/25.00,8.1,292\u4eba\u8bc4\u4ef7
文学,小说,手机里的男朋友,方慧/北京联合出版公司/2015-10-1/CNY38.00,7.8,2134\u4eba\u8bc4\u4ef7
文学,小说,古拉格群岛（上中下）,[俄]亚历山大·索尔仁尼琴/田大畏等/群众出版社/1996-12/96.00元,9.2,1402\u4eba\u8bc4\u4ef7
文学,小说,猎人笔记,屠格涅夫/冯春/上海译文出版社/2006-8/13.00元,8.7,1073\u4eba\u8bc4\u4ef7
文学,小说,宵待草夜情,[日]连城三纪彦/李盈春/新星出版社/2015-5/28.00,8.6,1336\u4eba\u8bc4\u4ef7
文学,小说,莉莉和章鱼,[美]史蒂文·罗利/祝文亭/江苏凤凰文艺出版社/2017-7-5/42.00,7.2,1481\u4eba\u8bc4\u4ef7
文学,小说,百年好合,蒋晓云/新星出版社/2014-1-1/32.00元,8.4,1948\u4eba\u8bc4\u4ef7
文学,小说,枯枝败叶,[哥伦比亚]加西亚·马尔克斯/刘习良、笋季英/南海出版公司/2013-1/25.00元,7.9,7005\u4eba\u8bc4\u4ef7
文学,小说,心,夏目漱石/林少华/青岛出版社/2005-05-01/19.80,8.7,4946\u4eba\u8bc4\u4ef7
文学,小说,时间与河流,(美)托马斯·沃尔夫/颜学军/人民文学出版社/2011-1/64.00元,8.6,83\u4eba\u8bc4\u4ef7
文学,小说,遇见野兔的那一年,[芬]阿托·帕西林纳/武忠森/中信出版集团/2017-3-1/36.00元,7.9,288\u4eba\u8bc4\u4ef7
文学,小说,浮生若梦1,缪娟/湖南文艺出版社/2012-7/29.80元,8.7,3048\u4eba\u8bc4\u4ef7
文学,小说,妹妹,[英]罗莎蒙德·勒普顿/张菡晨、叶博/湖南文艺出版社/2011-8/29.80元,6.9,375\u4eba\u8bc4\u4ef7
文学,小说,撒马尔罕,[法]阿敏·马卢夫/黄思恩、林子涵、彭广恺/民主与建设出版社/2017-8-1/68.00,8.6,126\u4eba\u8bc4\u4ef7
文学,小说,异常,桐野夏生/刘子倩/广西师范大学出版社/2010-9/35.0,8.1,1718\u4eba\u8bc4\u4ef7
文学,小说,一地鸡毛,刘震云/长江文艺出版社/2004-03/18.00,8.1,7651\u4eba\u8bc4\u4ef7
文学,外国文学,百年孤独,[哥伦比亚]加西亚·马尔克斯/范晔/南海出版公司/2011-6/39.50元,9.2,122471\u4eba\u8bc4\u4ef7
